user_id,Negativo,Positivo
--000--,0.0,100.0
--ace--,0.0,100.0
--ionex--,0.0,100.0
-2SV-vuLB-Kg,0.0,100.0
-Beave-,0.0,100.0
-GM-Dragon,1.9607843137254901,50.0
-I_AM_EPIC-,0.0,100.0
-Kenny,0.0,100.0
-Mad-,0.0,100.0
-PRoSlayeR-,1.9607843137254901,50.0
-SEVEN-,0.0,100.0
-SatansLittleHelper-,0.0,100.0
-Thyme-,0.0,100.0
-Ultrix,0.0,100.0
-_PussyDestroyer_-,1.3157894736842104,75.0
-kainey9777,0.0,100.0
0-3-0,0.0,100.0
00000000000000000001227,0.0,100.0
001000111000111000010,0.0,100.0
00284702,0.0,100.0
00454211432342,100.0,0.0
00810cccyyykkk,0.0,100.0
0099654321891111,0.0,100.0
00True,0.0,100.0
01001000-01101001,0.0,100.0
011011010111001000101110,0.0,100.0
011111135489484797,0.0,100.0
01189958889189157253,0.0,100.0
01221733,0.0,100.0
0132489,0.0,100.0
01shan,0.0,100.0
022899,0.0,100.0
03092002,0.0,100.0
04061993,0.0,100.0
0412734634,0.0,100.0
042153100,1.9607843137254901,50.0
04280122,0.0,100.0
0432-026-no,0.0,100.0
0445233,0.0,100.0
0468313256,0.0,100.0
05041129,2.9126213592233015,66.66666666666666
05461025,0.0,100.0
0700464574757,0.0,100.0
07824,0.0,100.0
07846813956825,100.0,0.0
08254669696969696969,0.0,100.0
0854029092,0.0,100.0
0896398616,0.0,100.0
0903512455,0.0,100.0
09106,0.0,100.0
091263,0.0,100.0
094553552,0.0,100.0
095732,100.0,0.0
09876543231,0.0,100.0
098766catdogbnmnnn,0.0,100.0
09879655452567,0.0,100.0
10000000thVisitor,0.0,100.0
100101011111000011111111,0.0,100.0
1001101001110101,100.0,0.0
10051997,0.0,100.0
10101010101010109,0.0,100.0
101010101111,0.0,100.0
1011001,1.1124845488257107,88.88888888888889
1016523030,0.0,100.0
10197226,0.0,100.0
102598615,0.0,100.0
106816544,0.0,100.0
10936543792,0.0,100.0
10Degree,0.0,100.0
10oyard,0.0,100.0
11111121111122221,0.0,100.0
111190869,0.0,100.0
111222333444555666888,0.0,100.0
11124,100.0,0.0
111zerosen,0.0,100.0
1122305938,1.3157894736842104,75.0
112asdasfasdasd,0.0,100.0
113595,0.0,100.0
1136579070,0.0,100.0
11567jj,0.0,100.0
117331,0.0,100.0
117arbiter,0.0,100.0
11925219096,0.0,100.0
119922883377446655123456789,100.0,0.0
11XGX,1.9607843137254901,50.0
120445,0.0,100.0
120488700,0.0,100.0
12066gdc,0.0,100.0
1212343456567878909,0.0,100.0
12125,0.0,100.0
12223536,1.9607843137254901,50.0
123123123131231231,0.0,100.0
12312312332123,0.0,100.0
123123718417671290,0.0,100.0
123232343432555686888554456555,0.0,100.0
12332165478953761,0.0,100.0
1234148932401,0.0,100.0
12341846,0.0,100.0
12345676543456789098543,0.0,100.0
1234567810132,0.0,100.0
12345678901234567890123456567890,1.1532125205930808,85.71428571428571
1234567890192837465,0.0,100.0
12345678910a,0.0,100.0
123456789874561232145678,0.0,100.0
123456789diamond987654321,0.0,100.0
1234567io9872345678765432,1.1532125205930808,85.71428571428571
1234865654,0.0,100.0
12391939123,0.0,100.0
12398uf8jg21390,0.0,100.0
123joshua321,0.0,100.0
123repulseMe,0.0,100.0
12536475869trhgsdf,0.0,100.0
1263512533427542734,1.9607843137254901,50.0
12779,1.3157894736842104,75.0
12839201,0.0,100.0
129874182,0.0,100.0
12DeAgostoAs12HRSe26MIN,0.0,100.0
12_gauge_org,0.0,100.0
12das,0.0,100.0
1300655506nigga,0.0,100.0
131312,1.2345679012345678,80.0
131467132,0.0,100.0
1321742413,0.0,100.0
13305678912,0.0,100.0
133742069174,0.0,100.0
1337666133766613376661337,0.0,100.0
1337Akraken,100.0,0.0
1337_K_REW,0.0,100.0
1337lolroflmao,0.0,100.0
1337putin,0.0,100.0
1343534566,0.0,100.0
13457856281,0.0,100.0
135781,1.1299435028248588,87.5
13971397,0.0,100.0
13lazer,0.0,100.0
14125161412,0.0,100.0
14372193,0.0,100.0
1440454,0.0,100.0
1452221660414,0.0,100.0
145578,0.0,100.0
1457184935981,0.0,100.0
14725836900,0.0,100.0
147532984,0.0,100.0
150010792,0.0,100.0
154352,1.3157894736842104,75.0
1546328127418,1.9607843137254901,50.0
154930493,0.0,100.0
15511551,0.0,100.0
157645,0.0,100.0
15832789427,0.0,100.0
15934,0.0,100.0
159zse159,0.0,100.0
1626466724893520,0.0,100.0
163050995,0.0,100.0
16538,0.0,100.0
169420666,0.0,100.0
17101710,1.2345679012345678,80.0
171516,1.185770750988142,83.33333333333334
17291799,0.0,100.0
1739902091026,0.0,100.0
174gamecuman700kngkakak,0.0,100.0
17829463213,0.0,100.0
1800-Ricohut,1.2345679012345678,80.0
1801010101,0.0,100.0
180577,0.0,100.0
18082001,0.0,100.0
18228272828,0.0,100.0
18481,0.0,100.0
1873410337,1.1532125205930808,85.71428571428571
1875489156748,0.0,100.0
187625,1.4778325123152711,66.66666666666666
1889999999999999,0.0,100.0
1892322575,0.0,100.0
19-20-5-20-27-5-18,0.0,100.0
